id,difficulty_search,helpfulness_results,extensiveness_results,quality_results,improvements,problems,appreciation,additional
17,4,4,4,5,,,,
18,3,3,3,2,,,,
15,3,2,5,1,,,,
14,2,2,1,4,,,,
12,1,3,3,2,,,,
11,,,,,,,,
16,2,4,3,4,,,,
13,4,3,4,3,,,,
111,2,3,4,3,,,,
112,2,3,4,3,,,,
113,2,2,3,3,,,,
313,4,4,5,4,,,,
314,4,3,2,2,,,,
311,3,2,3,2,,,,
316,2,2,3,2,,,,
315,3,3,5,4,,,,
312,1,2,5,3,,,,
411,3,4,4,4,,,,
531,2,2,3,2,,,,
532,2,1,5,2,,,,
534,3,1,2,1,,,,
535,2,3,4,2,,,,
536,2,2,4,3,,,,
23,4,4,3,3,,,,
24,2,4,4,3,,,,
27,1,3,4,3,,,,
22,2,2,2,3,,,,
21,3,2,4,2,,,,
26,2,2,4,2,,,,
25,5,4,4,4,,,,
221,2,3,2,2,,,,
222,2,3,3,2,,,,
224,2,2,2,1,,,,
225,3,4,4,3,,,,
114,4,2,4,2,,,,
223,2,3,3,3,,,,
522,2,3,4,2,,,,
521,3,2,5,3,,,,
523,2,3,5,3,,,,
542,3,2,4,2,,,,
543,3,4,3,4,,,,
541,2,2,2,1,,,,
1102,2,2,1,1,,,,
1108,2,3,3,2,,,,
1105,3,4,3,3,,,,
1107,3,4,3,2,,,,
1104,2,2,2,2,,,,
1109,2,3,4,3,,,,
1101,1,2,2,2,,,,
1103,3,4,3,2,,,,
1202,1,2,5,1,,,,
1207,2,1,3,3,,,,
1206,2,4,4,4,,,,
1204,4,3,5,4,,,,
1210,1,3,4,2,,,,
1209,2,3,4,4,,,,
1208,4,2,4,2,,,,
1205,3,4,4,4,,,,
1203,3,3,5,3,,,,
1303,3,3,3,2,,,,
1302,3,2,4,3,,,,
1304,3,3,5,3,,,,
1306,2,3,4,4,,,,
1307,2,4,4,3,,,,
1305,2,3,3,2,,,,
1310,2,2,4,2,,,,
1309,3,4,4,3,,,,
1308,2,4,3,4,,,,
1403,2,2,2,3,,,,
1408,3,2,3,3,,,,
1406,3,3,2,2,,,,
1409,3,2,3,2,,,,
1402,3,3,4,3,,,,
1401,4,4,5,3,,,,
1405,3,4,4,3,,,,
1404,2,1,3,2,,,,
1501,2,2,2,2,,,,
1407,2,4,4,4,,,,
1100,1,1,4,2,,,,
1505,2,4,5,2,,,,
1503,2,3,3,3,,,,
1502,2,2,1,3,,,,
1410,4,3,3,4,,,,
1201,1,3,2,2,,,,
1106,2,2,2,3,,,,
1602,3,3,4,3,,,,
1608,1,2,3,2,,,,
1604,2,3,4,4,,,,
1504,2,2,4,2,,,,
1607,3,3,2,2,,,,
1606,1,1,1,1,,,,
1601,4,2,3,3,,,,
